domain,label,class
writecomics.com,normal.alexa,0
vatwedea.ru,,1
qxgtbezdnpdk.info,,1
i7nohynsazthg8u865.biz,,1
cchaxcess.com,normal.alexa,0
39.net,normal.alexa,0
albanyclinic.ca,normal.alexa,0
downblocked.com,normal.alexa,0
fundiary.in,normal.alexa,0
auwcrfudeeupvscxclnvskfkreq.ru,,1
nedbatchelder.com,normal.alexa,0
erouxbu.name,,1
edgefonts.net,normal.bambenek,0
ns1.dnsfor9.biz,,1
propertynl.com,normal.alexa,0
fbrell.com,normal.alexa,0
of6aeeca9b19d77cbbbc2997b5ff96ef47.cc,dga.dyre,1
raidjapan.com,normal.alexa,0
neehivtu.ddns.net,,1
phoenixmarketcitypune.com,normal.alexa,0
o15367701505fdb310ff1e1d85a43479f8.cc,,1
ibq.com.tw,normal.alexa,0
squizzbox.com,normal.alexa,0
polska-kaliningrad.ru,normal.alexa,0
ultra-bux.com,normal.alexa,0
pereowan.ru,,1
3cf6865c50c662ba46e6563f9a53fb09.info,,1
stevescomments.wordpress.com,normal.alexa,0
tsktxefswdjnpblxdobir.net,,1
ecolines.net,normal.alexa,0
cssrfknuppyb.com,,1
sipdvygmeutm.com,dga.ramnit,1
kkabkmeccklnllcb.de,,1
xeanon.com,normal.alexa,0
eiugxwlkvhahlrcmhtgkrknrczd.com,,1
cookiebuddypraygrabcowpart.com,,1
vdfvbexuucrr.pw,,1
takmax.com,normal.alexa,0
rajeacuk.ru,,1
traderfeed.blogspot.com.ar,normal.alexa,0
muslimahcorner.com,normal.alexa,0
scissorvixens.com,normal.alexa,0
qqareqswpwpghnh.com,,1
litklyprb.info,,1
sentora.org,normal.alexa,0
brianzacque.it,normal.alexa,0
torontofeed.in,normal.alexa,0
autodecore.ru,normal.alexa,0
8esport.com,normal.alexa,0
argentinaindependent.com,normal.alexa,0
office-vender.com,normal.alexa,0
rhglv.com,,1
ypqattqgk.eu,,1
soin-et-nature.com,normal.alexa,0
dameihotel666.com,normal.alexa,0
wnspavqle.top,,1
ustrcr.cz,normal.alexa,0
googleblog.blogspot.com.br,normal.alexa,0
nkzsdylcd.top,,1
thebirdwrites.com,normal.alexa,0
emaily.eu,normal.alexa,0
vathikokkino.gr,normal.alexa,0
tirumalabalaji.in,normal.alexa,0
ogfyamentalistfanchonut.com,dga.banjori,1
jepmnpnkklvk.co.uk,dga.cryptolocker,1
yqkawaiaixpjrvnbvye.org,,1
secomtrust.net,normal.alexa,0
tcookcsnuu.com,,1
continu.nl,normal.alexa,0
pornopoppen.net,normal.alexa,0
moneycanbuymehappiness.com,normal.alexa,0
afreecodec.com,normal.alexa,0
ywuswljqdetqmi.com,,1
mcnzpvmsmdumjexpu.net,,1
sharonsantoni.com,normal.alexa,0
zdrav.kz,normal.alexa,0
newsrt.co.uk,normal.alexa,0
vxlnhqjjskampo.org,dga.qakbot,1
planbranchscrewshallpropose.com,,1
xwxjvocwrmx.info,,1
ginfuuzua9gi422.net,,1
kosmghqxwzptopbif.net,,1
gmifurj.info,,1
g200kg.com,normal.alexa,0
cookingwithplants.com,normal.alexa,0
vertinity.com,normal.alexa,0
ib4tujglinc1.com,,1
nurseryjobs.org,normal.alexa,0
xpsxrnehqe.dynserv.com,,1
pointsback.lv,normal.alexa,0
powstock.com,normal.alexa,0
oeqsongovqbc.com,,1
uxsjiaqcmgmkoyrivq.ir,,1
sportsbook.ag,normal.alexa,0
edotntexprlore.info,,1
dengy.in.ua,normal.alexa,0
alpincenter.com,normal.alexa,0
cfiujkx.info,,1
hlmzidablyhoosieraw.com,dga.banjori,1
fukudaya.net,normal.alexa,0
qetyv.eu,,1
ffvuzxyc.com,,1
dekorasyondunyasi.net,normal.alexa,0
sweetfunnycoool.com,normal.alexa,0
alekzmx.tumblr.com,normal.alexa,0
novemberlearning.com,normal.alexa,0
rebeccajuddloves.com,normal.alexa,0
selectica.com,normal.alexa,0
gai001.com,normal.alexa,0
hublmcmqlig.cc,,1
fqhfaia.mooo.com,,1
yamisiones.com,normal.alexa,0
ftgtso.com,,1
pfugmdusayoqtzia.com,,1
clientservebrickmeetfarm.com,,1
ovngedruhdljwquivbk.com,,1
fuvsbujc.top,,1
x203ccf5df4ec3a3de9b165965f041a897.cn,,1
medyaistasyonu.blogspot.com.tr,normal.alexa,0
a1eh1gyxhzipwikgzb2afisf.org,,1
raihjrnj.net,dga.pykspa,1
aweqruwcgqtwwnbusern.xxx,,1
adc1439e1b75adcfe423d66788448213e1.cc,,1
wfe6gde872epcfsf107.ddns.net,,1
tntweb.wordpress.com,normal.alexa,0
ymfmhkdsjblb.xyz,,1
eahulfpcmcqmneqsoovylnkzxhqx.com,,1
phimbook.com,normal.alexa,0
a-kimama.com,normal.alexa,0
akogtlnkmjjmp.com,,1
8650745d1afc46620f6a5bf4e2c09277.cz.cc,,1
huss-licht-ton.de,normal.alexa,0
oneejkevmgfigkni.eu,,1
spservicing.com,normal.alexa,0
8c819026ae98572fdc9683510fc4ec50.org,,1
ilylmfulgtajyn1.ddns.net,,1
giornalegiornaliero.com,normal.alexa,0
leadingstrategicinitiatives.com,normal.alexa,0
fltwudp.info,,1
rencontrer-mignon.org,normal.alexa,0
status-now.com,normal.alexa,0
cfuyuk.com,,1
nexbqcvajp.yi.org,,1
classifiedsciti.com,normal.alexa,0
fabbox.net,normal.alexa,0
mossberg.com,normal.alexa,0
laxshuttletix.com,normal.alexa,0
societe-gamma.com,normal.alexa,0
grajaudefato.blogspot.com.br,normal.alexa,0
dmodbbbkbedkmban.com,,1
ojtocypnzljffyifdwcskzdhaxo.org,,1
qcrbsyriowdp.com,dga.tinba,1
reosh.ru,normal.alexa,0
qfkgepobxlupsqot.su,,1
grafkellerinvestor.com,normal.alexa,0
bpaeyyxvldpuqaww.eu,,1
ygyksagabardinedazyx.com,,1
chandigarhacademy.com,normal.alexa,0
defender2.net,normal.alexa,0
ekogundem.com,normal.alexa,0
wsesluarbidvie.com,,1
teknovi.com,normal.alexa,0
sjowkyzdbozaqoy.com,,1
halquin.jp,normal.alexa,0
9z74eeoldp7ocjgd.com,,1
prizm.media,normal.alexa,0
sigortatahkim.org,normal.alexa,0
jlrfllaabettingk.com,dga.banjori,1
lyrem.eu,,1
lowesthosting.com,normal.alexa,0
ixirgpqh.com,,1
diatem.net,normal.alexa,0
oivpsatformalisticirekb.com,,1
visitorlando.com,normal.alexa,0
ofnaset.com,normal.alexa,0
blogpicture.net,normal.alexa,0
rufile.org,normal.alexa,0
irkcenfq.com,,1
fjfmlijvoxib.com,,1
sotdicb.ru,,1
stcsm.gov.cn,normal.alexa,0
applus.com,normal.alexa,0
byeiucq.com,,1
ehktijhfjljtmfpu.eu,,1
lpflwocuqkobkzfqcqrkcmtowo.ru,,1
s951e1132fb6b6ed02b9a627e15dada6bf.hk,,1
ljncqppvuwhehovnrcibqstfpn.ru,,1
tfvfwedsj.pw,,1
bfkrsxgoqbwu.com,,1
hkoubgzpz.net,,1
vegankit.com,normal.alexa,0
setbookmarks.com,normal.alexa,0
politico.eu,normal.alexa,0
yxaehtceznryxlwguocilvropf.com,,1
dzcoidjlgidohk.net,,1
elektroversand-schmidt.de,normal.alexa,0
gl06k2ykzehd1ejnm0y1s2t2rn.net,dga.post,1
mm3pai1fwcd191mgjy98z6drde.com,,1
babiniotis.gr,normal.alexa,0
pujetyg.info,,1
sightsleep.net,,1
ghlyuzvijhgddbz.com,,1
croplife.com,normal.alexa,0
theme-one.com,normal.alexa,0
nlclubvp.ru,normal.alexa,0
ippopetshop.it,normal.alexa,0
rtklicpxyyktfbwj.eu,,1
bejiuutsoxui.com,dga.tinba,1
jcpir0pyfs5q.net,,1
1x2w6qxcxsq2w1j0dvd0h2mbr2.biz,,1
wdntoday.com,normal.alexa,0
vuruxoogikeqci.ddns.net,,1
cesaosisuseccsaa.org,,1
umiqanerraticallyqozaw.com,dga.banjori,1
nrsworld.com,normal.alexa,0
khv.info,normal.alexa,0
tzzxxiex.info,,1
9ckdbxd3dditt2y.net,,1
xxggdmmtofrtinsx.biz,,1
j1rwoa1ytb7rx1x1ozx7146tytq.org,,1
ovhiatg.net,,1
vakilsearch.com,normal.alexa,0
snwwk2m1m3pg.net,,1
asialive.info,normal.alexa,0
knyagna.ru,normal.alexa,0
ogokygsmiaecesga.org,dga.ramdo,1
svunylxiwknqphf.com,dga.murofet,1
soundbreeze.ru,normal.alexa,0
efiynhgtmhedj2656o.cn,,1
w-t-f.cc,normal.alexa,0
cq756me84yskt8hf16.cn,,1
losvideosviral.net,normal.alexa,0
bi4suhglcj29f50j.ru,,1
nesta.hk,normal.alexa,0
wcmhsgbufitwlvxgsglvpbeuug.ru,,1
1gnaw4k1pflq3ubx2pu5vm0k78.com,,1
topoznei.ru,,1
potteroman.ru,normal.alexa,0
advooble.kz,normal.alexa,0
14tdhp190nvt01ay2mp91gce1bb.org,,1
hmzduydmfemdzdhqkjtczhwcvo.info,,1
winterdumpruinrelatedoctor.com,,1
w3e6963b30cff7ecadd2c1f11525cef829.hk,,1
136e3y01avi1tnvtz2c51hx97ye.com,,1
garenatotal.com,normal.alexa,0
oufurxbhatwoekpscj.eu,,1
cbwbgpcj.ru,,1
large.nl,normal.alexa,0
weixiaodian.com,normal.alexa,0
leanactionplan.pl,normal.alexa,0
ppixhayrmvsmf52.com,,1
mjktybop6z0t.net,,1
milkingcocks.tumblr.com,normal.alexa,0
xutihyx.info,,1
theislandwiki.org,normal.alexa,0
oyrprrn.cc,,1
jzitnvkl.dynserv.com,,1
csnytpxwfxkqnbii.eu,,1
balkanviator.com,normal.alexa,0
dagimozj.ru,,1
zjfoqieh.com,,1
fxkurvi.info,,1
dpxttuimyfvq.com,dga.tinba,1
vc5gnwlyjiyrdnjtuh.net,,1
speechrentbelongbringindicate.com,dga.matsnu,1
freeforums.com,normal.alexa,0
solarroadways.com,normal.alexa,0
jjrbakn.cc,,1
kimdentistry.com.vn,normal.alexa,0
geireobo.ru,,1
feqqsiv.eu,,1
weare.de,normal.alexa,0
mwcljtmgxqutkrw.co.uk,dga.cryptolocker,1
osegredodaaprovacao.com.br,normal.alexa,0
wallabycoin.link,normal.alexa,0
caganu.com,normal.alexa,0
mnzwcmtabq.com,,1
nswzpxezznwv.tv,,1
vowubaf.info,,1
